Nr,Lat,Long,Latgms,Longms,Municipio,CodIbge,Estado,AreaKm2,Desmatado2006,Incremento20052006,Floresta2006,Nuvem2006,NaoObservado2006,NaoFloresta2006,Hidrografia2006,Soma 
 118,-6.16889,-48.75597,S 6 10 8.00,O 48 45 21.49,São Geraldo do Araguaia,1507458,PA,3181,2462.7,1.9,375.0,0.0,0.0,314.1,29.2,100
 119,0.35952,-68.17017,N 0 21 34.27,O 68 10 12.61,São Gabriel da Cachoeira,1303809,AM,112476,1170.7,1.0,95153.9,13808.9,370.6,489.6,1482.3,100
 120,-1.20761,-47.74858,S 1 12 27.40,O 47 44 54.89,São Francisco do Pará,1507409,PA,480,410.9,2.9,0,0.0,69.1,1.3,0.1,100
 121,-12.38020,-62.94649,S 12 22 48.72,O 62 56 47.36,São Francisco do Guaporé,1101492,RO,11095,2314.9,103.8,5612.5,0.0,0.0,3144.7,22.9,100
 122,-5.16989,-47.32265,S 5 10 11.60,O 47 19 21.54,São Francisco do Brejão,2110856,MA,751,707.4,3.9,43.6,0.0,0.0,0.0,0.0,100
 123,-7.46114,-52.46225,S 7 27 40.10,O 52 27 44.10,São Félix do Xingu,1507300,PA,84253,14563.6,761.9,64955.7,0.2,6.5,3788.0,939.0,100
 124,-10.04361,-46.75224,S 10 2 37.00,O 46 45 8.06,São Félix do Tocantins,1720150,TO,1923,0.0,0.0,0,0.0,1923.1,1923.4,0.0,200
 125,-11.47956,-52.50108,S 11 28 46.42,O 52 30 3.89,São Félix do Araguaia,5107859,MT,16851,4135.6,50.9,6470.0,3.1,0.7,6180.1,61.5,99
 126,-7.10735,-44.88571,S 7 6 26.46,O 44 53 8.56,São Félix de Balsas,2110807,MA,2057,0.0,0.0,12.5,0.0,0.0,2044.5,0.0,100
 127,-11.91634,-61.45463,S 11 54 58.82,O 61 27 16.67,São Felipe D'Oeste,1101484,RO,547,484.4,0.2,62.6,0.0,0.0,0.0,0.0,100
 128,-5.66656,-44.31635,S 5 39 59.62,O 44 18 58.86,São Domingos do Maranhão,2110708,MA,1168,713.5,10.2,362.2,0.0,0.0,92.3,0.0,100
 129,-1.92729,-47.75973,S 1 55 38.24,O 47 45 35.03,São Domingos do Capim,1507201,PA,1686,1296.6,34.7,0,0.0,391.2,15.2,35.9,103
 130,-6.84762,-44.59859,S 6 50 51.43,O 44 35 54.92,São Domingos do Azeitão,2110658,MA,974,0.0,0.0,0,0.0,1071.7,974.2,0.0,210
 131,-5.68166,-48.73065,S 5 40 53.98,O 48 43 50.34,São Domingos do Araguaia,1507151,PA,1397,1245.2,1.6,151.8,0.0,0.0,0.0,0.0,100
 132,-0.82301,-48.03573,S 0 49 22.84,O 48 2 8.63,São Caetano de Odivelas,1507102,PA,752,225.9,6.3,0,0.0,391.3,8.8,313.5,124
 133,-5.94912,-47.79323,S 5 56 56.83,O 47 47 35.63,São Bento do Tocantins,1720101,TO,1112,347.5,0.1,78.3,0.1,1.4,684.7,0.0,100
 134,-2.78496,-44.93574,S 2 47 5.86,O 44 56 8.66,São Bento,2110500,MA,465,362.8,0.0,0.9,1.0,0.0,99.8,0.5,99
 135,-4.81280,-44.48090,S 4 48 46.08,O 44 28 51.24,Santo Antônio dos Lopes,2110302,MA,781,278.6,0.0,1.5,0.0,500.9,0.0,0.0,100
 136,-1.09607,-48.14127,S 1 5 45.85,O 48 8 28.57,Santo Antônio do Tauá,1507003,PA,540,320.2,6.4,0,0.0,221.1,6.8,96.9,119
 137,-16.48613,-55.26485,S 16 29 10.07,O 55 15 53.46,Santo Antônio do Leverger,5107800,MT,12262,1031.3,5.3,1109.1,0.0,0.4,10099.5,21.7,100
 138,-14.82013,-53.69196,S 14 49 12.47,O 53 41 31.06,Santo Antônio do Leste,5107792,MT,3597,2.0,0.0,64.7,0.1,0.0,3530.2,0.0,100
 139,-3.08079,-69.06723,S 3 4 50.84,O 69 4 2.03,Santo Antônio do Içá,1303700,AM,12737,129.9,1.0,10891.9,1108.3,65.2,90.4,451.3,99
 140,-14.44224,-57.21069,S 14 26 32.06,O 57 12 38.48,Santo Afonso,5107263,MT,1172,934.0,3.0,233.5,0.1,0.0,4.4,0.0,100
